-0.0309107, 0.108237, -0.993644, 0.99968, -0.0159194, -0.0196415, -1.63108
-0.0131275, 0.0350901, -0.999298, 0.999213, -0.019859, 0.0343401, -1.57793
0.0274942, 0.0564623, -0.998026, 0.992871, -0.0488902, 0.108702, -1.55054
0.0236234, 0.0826877, -0.996295, 0.985918, -0.0639412, 0.154523, -1.5983
0.057121, -0.0597873, -0.996575, 0.996224, -0.0651233, 0.0574208, -2.0073
0.0909475, 0.0625497, -0.993889, 0.979192, -0.0229428, 0.201634, -1.45307
0.12827, 0.0758801, -0.988832, 0.978843, -0.0119164, 0.204266, -1.37542
0.0831624, 0.0544835, -0.995045, 0.983607, -0.0163244, 0.179584, -1.31036
0.244125, -0.0816844, -0.966297, 0.939652, -0.112769, 0.323013, -1.29357
0.253828, -0.0511364, -0.965897, 0.927486, -0.133657, 0.349149, -1.28448
0.223698, 0.0750122, -0.971768, 0.95338, -0.0426469, 0.298744, -1.33716
0.209225, 0.0845721, -0.974203, 0.964868, 0.0726003, -0.252503, -1.80168
0.145608, 0.443939, -0.884147, 0.872965, 0.434571, 0.221539, -1.75587
0.139693, 0.375437, -0.91626, 0.957988, 0.226306, 0.176194, -1.45766
0.203761, 0.174273, -0.963385, 0.941566, 0.110196, 0.318293, -1.18035
0.217216, -0.0126127, -0.976042, 0.941751, -0.193235, 0.275255, -1.35808
0.196826, -0.123185, -0.972669, 0.930196, -0.226156, 0.289117, -1.40345
0.2054, -0.0845701, -0.975017, 0.937652, -0.197216, 0.286206, -1.39493
0.211579, -0.0797549, -0.974101, 0.929878, -0.197006, 0.310668, -1.39511
0.201792, -0.0999705, -0.974313, 0.913605, -0.225763, 0.338168, -1.41757
0.202535, -0.0921809, -0.974927, 0.930576, -0.226541, 0.287588, -1.46474
0.193797, -0.105333, -0.975371, 0.929258, -0.239067, 0.281652, -1.47838
0.22806, -0.0436438, -0.972668, 0.895576, -0.266482, 0.356274, -1.28854
0.241824, 0.0339978, -0.969724, 0.955234, -0.0716646, 0.287041, -1.62658
0.20978, 0.679891, -0.702667, 0.693767, 0.646143, 0.318098, -1.10723
0.17904, 0.784972, -0.593097, -0.626162, -0.748363, -0.218801, 1.00831
0.155012, 0.779716, -0.606641, -0.670815, -0.716735, -0.190524, 1.07281
0.147658, 0.772944, -0.617053, -0.668198, -0.728315, -0.151886, 1.07144
0.146101, 0.644892, -0.750179, 0.920011, 0.225837, 0.320278, -1.27124
0.296101, -0.607243, -0.737279, 0.496483, -0.843224, 0.206102, -1.02039
0.212893, -0.713376, -0.667661, 0.609133, -0.775323, 0.166828, -1.16271
0.225493, -0.73988, -0.633822, 0.482875, -0.848545, 0.216342, -1.04027
0.783818, 0.0981321, -0.613188, 0.503186, -0.0160659, 0.864029, -0.651531
0.794352, 0.0939445, -0.60015, 0.432279, 0.008572, 0.901699, -0.572145
